Data completa, Classe
16-11-2023 16:19, SemAgua
16-11-2023 16:23, SemAgua
16-11-2023 16:24, SemAgua
16-11-2023 16:25, SemAgua
16-11-2023 16:26, SemAgua
16-11-2023 16:58, SemAgua
17-11-2023 10:14, Limpa
20-11-2023 15:35, Limpa
20-11-2023 15:40, Limpa
20-11-2023 15:40, Limpa
20-11-2023 15:52, SemAgua
20-11-2023 15:54, SemAgua
20-11-2023 15:56, SemAgua
20-11-2023 15:58, Suja
20-11-2023 16:00, SemAgua
20-11-2023 16:11, SemAgua
20-11-2023 16:49, Suja
20-11-2023 16:51, Suja
20-11-2023 16:53, Suja
21-11-2023 14:36, Limpa
21-11-2023 14:40, Limpa
21-11-2023 15:01, SemAgua
21-11-2023 15:03, Suja
21-11-2023 15:04, SemAgua
24-11-2023 13:49, Limpa
24-11-2023 13:50, Limpa
24-11-2023 14:01, Suja
24-11-2023 14:01, Suja
24-11-2023 14:04, Suja
24-11-2023 14:05, Suja
24-11-2023 14:10, SemAgua
